OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
25;AMCR  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PORAQUE                                    AM       ;;;30/01/2006;31/01/2006;UTE;Térmica                       ,-60.03432800599995,-2.892080999999962
26;AMGE  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE TUCUNARE                                   AM       ;;;14/12/2006;15/12/2006;UTE;Térmica                       ,-60.073319002999995,-3.0933530029999474
27;AMJA  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE JARAQUI                                    AM       ;;;30/12/1990;31/12/1990;UTE;Térmica                       ,-60.02750000399999,-2.9866669999999544
28;AMMA  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PIRARUCU                                       AM       ;31/08/2013;01/09/2013;30/12/1990;31/12/1990;UTE;Térmica                       ,-60.021667003999994,-2.9455559999999537
29;AMTA  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE TAMBAQUI                                   AM       ;;;30/12/1990;31/12/1990;UTE;Térmica                       ,-59.938889003999975,-3.108056000999966
30;APCN  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI COARACY NUNES                                  AP       ;;;30/12/1990;31/12/1990;UHE;Hidroelétrica                 ,-51.244639001999985,0.9280829950000111
31;APFGO ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE FERREIRA GOMES                             AP       ;29/12/2014;30/12/2014;01/09/2014;02/09/2014;UHE;Hidroelétrica                 ,-51.19683300699995,0.8556279990000348
32;APSA  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE SANTANA                                    AP       ;14/04/2014;15/04/2014;31/12/1992;01/01/1993;UTE;Térmica                       ,-51.18210300099997,-0.01378100399995219
33;APSAJ ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SANTO ANTONIO DO JARI                          AP       ;30/10/2014;31/10/2014;24/08/2014;25/08/2014;UHE;Hidroelétrica                 ,-52.51666700099997,-0.6500000059999707
34;APUCCA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CACHOEIRA CALDEIRAO                            AP       ;29/04/2016;30/04/2016;04/05/2016;05/05/2016;UHE;Hidroelétrica                 ,-51.29666700199999,0.8527779949999967
35;BASK01;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE SYKUE I                                    BA       ;30/12/2008;31/12/2008;25/11/2010;26/11/2010;UTE;Térmica                       ,-45.519292003999965,-12.998317004
36;BAUAS ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI APOLONIO SALES                                 BA       ;;;27/02/1977;28/02/1977;UHE;Hidroelétrica                 ,-38.20000000299996,-9.40000000599997
37;BAUCV ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PEDRA DO CAVALO                                BA       ;29/11/2004;30/11/2004;28/09/2004;29/09/2004;UHE;Hidroelétrica                 ,-38.983333304999974,-12.600000002000002
38;BAUGD ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE GLOBAL II                                  BA       ;29/06/2010;30/06/2010;19/05/2010;20/05/2010;UTE;Térmica                       ,-38.483056000999966,-12.727778002999969
39;BAUGU ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE GLOBAL I                                   BA       ;29/06/2010;30/06/2010;06/05/2010;07/05/2010;UTE;Térmica                       ,-38.482778005,-12.727778002999969
40;BAUIT1;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITAPEBI US                                     BA       ;30/12/2003;31/12/2003;04/02/2003;05/02/2003;UHE;Hidroelétrica                 ,-39.592739000999984,-15.966462001999957
41;BAUSB ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SOBRADINHO                                     BA       ;;;29/04/1979;30/04/1979;UHE;Hidroelétrica                 ,-40.829166703,-9.436083301999986
42;BAUSD ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PAULO AFONSO II                                BA       ;;;29/04/1961;30/04/1961;UHE;Hidroelétrica                 ,-38.194200002,-9.395800001999987
43;BAUSQ ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PAULO AFONSO IV                                BA       ;;;29/04/1969;30/04/1969;UHE;Hidroelétrica                 ,-38.20384859999996,-9.41257060299995
44;BAUST ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PAULO AFONSO III                               BA       ;;;29/04/1971;30/04/1971;UHE;Hidroelétrica                 ,-38.20410679999998,-9.40360020099996
45;BAUSU ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PAULO AFONSO I                                 BA       ;;;30/01/1955;31/01/1955;UHE;Hidroelétrica                 ,-38.20401580599997,-9.40219990199995
46;BAUTA ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMOBAHIA                                     BA       ;;;20/08/2002;21/08/2002;UTE;Térmica                       ,-38.566666699999985,-12.700000002999957
47;BAUTPL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PILAR                                      BA       ;08/09/9998;09/09/9998;;;UTE;Térmica                       ,-39.85619700699999,-9.861294001999966
48;CEEBCO;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ICR_BOCA DO CORREGO                            CE       ;14/08/2014;15/08/2014;29/08/2014;30/08/2014;UEE;Eolielétrica                  ,-39.668978005999975,-3.094475000999978
49;CEEICD;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ICR_ICARAI II                                  CE       ;27/02/2014;28/02/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.599222003999955,-3.0652500019999707
50;CEEICU;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ICR_ICARAI I                                   CE       ;27/02/2014;28/02/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.592806003999954,-3.070082999999954
51;CEEIGR;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ICR_ILHA GRANDE                                CE       ;14/08/2014;15/08/2014;19/08/2014;20/08/2014;UEE;Eolielétrica                  ,-39.702544004,-3.0657420009999896
52;CEERIB;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ICR_RIBEIRAO                                   CE       ;14/09/2014;15/09/2014;24/09/2014;25/09/2014;UEE;Eolielétrica                  ,-39.678500004,-3.098303004999991
53;CEMRU ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE MARACANAU I                                CE       ;31/07/2010;01/08/2010;29/12/2010;30/12/2010;UTE;Térmica                       ,-38.55716700099998,-3.860750005
54;CEUEAD;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TBA_TAIBA ANDORINHA                            CE       ;30/07/2014;31/07/2014;18/06/2014;19/06/2014;UEE;Eolielétrica                  ,-38.89796700299996,-3.5287440049999645
55;CEUEAG;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TBA_TAIBA AGUIA                                CE       ;29/06/2014;30/06/2014;18/06/2014;19/06/2014;UEE;Eolielétrica                  ,-38.88828900499999,-3.548125005999964
56;CEUEAP;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_SANTO ANTONIO DE PADUA                     CE       ;29/11/2014;30/11/2014;12/09/2014;13/09/2014;UEE;Eolielétrica                  ,-39.224556006,-3.2801390070000025
57;CEUEBV;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ARD_BONS VENTOS                                CE       ;19/02/2010;20/02/2010;10/02/2010;11/02/2010;UEE;Eolielétrica                  ,-37.700597002999984,-4.582914001999995
58;CEUECL;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TBA_COLONIA                                    CE       ;29/06/2014;30/06/2014;18/06/2014;19/06/2014;UEE;Eolielétrica                  ,-38.878239006,-3.5426330049999706
59;CEUECQ;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ARD_CANOA QUEBRADA                             CE       ;29/12/2009;30/12/2009;25/01/2010;26/01/2010;UEE;Eolielétrica                  ,-37.754383004999966,-4.470100000999992
60;CEUEEM;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_EMBUACA                                    CE       ;30/05/2014;31/05/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.32941700499998,-3.2182500069999946
61;CEUEEN;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ARD_ENACEL                                     CE       ;04/04/2010;05/04/2010;17/03/2010;18/03/2010;UEE;Eolielétrica                  ,-37.760497004,-4.505708001999949
62;CEUEF1;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_FAISA 1                                    CE       ;30/05/2014;31/05/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.26711100299997,-3.3218330069999524
63;CEUEF2;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_FAISA 2                                    CE       ;30/08/2014;31/08/2014;30/07/2014;31/07/2014;UEE;Eolielétrica                  ,-39.251639001,-3.322750001999964
64;CEUEF3;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_FAISA 3                                    CE       ;30/05/2014;31/05/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.26513900599997,-3.347806006999974
65;CEUEF4;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_FAISA 4                                    CE       ;30/05/2014;31/05/2014;28/03/2014;29/03/2014;UEE;Eolielétrica                  ,-39.250111006,-3.3536390069999698
66;CEUEF5;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_FAISA 5                                    CE       ;30/10/2014;31/10/2014;29/10/2014;30/10/2014;UEE;Eolielétrica                  ,-39.262111000999994,-3.369944005999969
67;CEUEFL;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TRA_FLEIXEIRAS I                               CE       ;30/01/2014;31/01/2014;27/01/2014;28/01/2014;UEE;Eolielétrica                  ,-39.366667001999986,-3.1925000029999637
