OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
111;MGAIMO;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI AIMORES                                        MG       ;30/08/2005;31/08/2005;29/06/2005;30/06/2005;UHE;Hidroelétrica                 ,-41.09750000399998,-19.45638900299997
112;MGCAMA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CAMARGOS                                       MG       ;;;29/02/1960;01/03/1960;UHE;Hidroelétrica                 ,-44.616111106999995,-21.325277805999974
113;MGCPB1;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI AMADOR AGUIAR I                                MG       ;27/02/2006;28/02/2006;29/01/2006;30/01/2006;UHE;Hidroelétrica                 ,-48.147222005,-18.79027800299997
114;MGCPB2;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI AMADOR AGUIAR II                               MG       ;27/02/2007;28/02/2007;08/03/2007;09/03/2007;UHE;Hidroelétrica                 ,-48.435278005999976,-18.659722000999977
115;MGEMBO;;SUB EMBORCACAO                                     MG       ;;;31/03/1982;01/04/1982;;,-47.99392707099997,-18.45206443699999
116;MGFUNI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI FUNIL GRANDE                                   MG       ;01/11/2002;02/11/2002;19/12/2002;20/12/2002;UHE;Hidroelétrica                 ,-44.916666701,-21.083055600999955
117;MGGUIL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GUILMAN AMORIM                                 MG       ;;;01/11/1997;02/11/1997;UHE;Hidroelétrica                 ,-42.96000000099997,-19.708055600999955
118;MGIGAR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI IGARAPAVA                                      MG       ;;;31/12/1998;01/01/1999;UHE;Hidroelétrica                 ,-47.73222220699995,-19.97583330499998
119;MGIGPE;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI IGARAPE 1                                      MG       ;;;25/10/1977;26/10/1977;UTE;Térmica                       ,-44.28000000099996,-19.96583330699997
120;MGIRAP;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI IRAPE-US                                       MG       ;29/06/2006;30/06/2006;18/07/2006;19/07/2006;UHE;Hidroelétrica                 ,-42.56708089999995,-16.730263106999985
121;MGITUT;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITUTINGA-US                                    MG       ;;;31/01/1955;01/02/1955;UHE;Hidroelétrica                 ,-44.623888901999976,-21.29166700799999
122;MGJGUS;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI JAGUARA                                        MG       ;;;31/12/1970;01/01/1971;UHE;Hidroelétrica                 ,-47.434444404999965,-20.023055002999968
123;MGMIRA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI MIRANDA                                        MG       ;;;28/05/1998;29/05/1998;UHE;Hidroelétrica                 ,-48.041388907,-18.911944404999986
124;MGNPON;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI NOVA PONTE                                     MG       ;;;31/05/1988;01/06/1988;UHE;Hidroelétrica                 ,-47.693611003,-19.133055001999992
125;MGPCDA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PICADA                                         MG       ;29/06/2006;30/06/2006;30/06/2006;01/07/2006;UHE;Hidroelétrica                 ,-43.55000000399997,-21.88333330399996
126;MGPORT;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PORTO ESTRELA                                  MG       ;15/08/2001;16/08/2001;03/09/2001;04/09/2001;UHE;Hidroelétrica                 ,-42.66611110399998,-19.13361110599999
127;MGQMDO;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI QUEIMADO                                       MG       ;29/04/2004;30/04/2004;08/04/2004;09/04/2004;UHE;Hidroelétrica                 ,-47.323055603,-16.209166705999962
128;MGSCAR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SA CARVALHO                                    MG       ;;;30/03/2001;31/03/2001;UHE;Hidroelétrica                 ,-42.80611099999999,-19.635556006
129;MGSCLA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SANTA CLARA-MG                                 MG       ;30/01/2002;31/01/2002;19/02/2002;20/02/2002;UHE;Hidroelétrica                 ,-40.201296999999954,-17.896661005999988
130;MGSGRA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SALTO GRANDE MG                                MG       ;;;27/02/1956;28/02/1956;UHE;Hidroelétrica                 ,-42.718333304,-19.11527780499995
131;MGSOBR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SOBRAGI                                        MG       ;;;27/08/1998;28/08/1998;UHE;Hidroelétrica                 ,-43.350000000999955,-21.966388903999984
132;MGSSUS;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SAO SIMAO-US                                   MG       ;;;31/01/1978;01/02/1978;UHE;Hidroelétrica                 ,-50.49916600399996,-19.018055006999987
133;MGTMAR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TRES MARIAS                                    MG       ;;;31/01/1962;01/02/1962;UHE;Hidroelétrica                 ,-45.25916700099998,-18.21250000699996
134;MGUBAG;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI BAGUARI                                        MG       ;29/09/2009;30/09/2009;08/09/2009;09/09/2009;UHE;Hidroelétrica                 ,-42.12416700299997,-19.02250000099997
135;MGUHEC;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI RISOLETA NEVES                                 MG       ;30/08/2004;31/08/2004;23/08/2004;24/08/2004;UHE;Hidroelétrica                 ,-42.891666703,-20.20694440699998
136;MGUHRB;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI RETIRO BAIXO                                   MG       ;30/03/2010;31/03/2010;02/03/2010;03/03/2010;UHE;Hidroelétrica                 ,-44.781667002000006,-18.89444400399998
137;MGUSCL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PORTO  COLOMBIA                                MG       ;;;28/02/1973;01/03/1973;UHE;Hidroelétrica                 ,-48.57494800499995,-20.120132006999995
138;MGUSFU;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI FURNAS                                         MG       ;;;28/02/1963;01/03/1963;UHE;Hidroelétrica                 ,-46.319262004999985,-20.667320005999954
139;MGUSIM;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITUMBIARA                                      MG       ;;;31/01/1980;01/02/1980;UHE;Hidroelétrica                 ,-49.11296800499997,-18.40752900399997
140;MGUSMM;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI MASCARENHAS DE MORAES                          MG       ;;;31/03/1956;01/04/1956;UHE;Hidroelétrica                 ,-47.06991600199996,-20.286561004999953
141;MGUSMR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI MARIMBONDO                                     MG       ;;;31/03/1975;01/04/1975;UHE;Hidroelétrica                 ,-49.20339000199999,-20.301198005999993
142;MGUTIB;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UT.IBIRITE                                     MG       ;;;04/05/2002;05/05/2002;UTE;Térmica                       ,-44.096666701000004,-19.987777806999986
143;MGUTJF;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI JUIZ DE FORA                                   MG       ;29/09/2001;30/09/2001;01/02/2002;02/02/2002;UTE;Térmica                       ,-43.461388900999964,-21.688888900999984
144;MGVGRA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI VOLTA GRANDE                                   MG       ;;;28/02/1974;01/03/1974;UHE;Hidroelétrica                 ,-48.22083330199996,-20.028888903999984
145;MSELDR;USINA PERTENCENTE A CONJUNTO DE USINAS;USI UTE ELDORADO                                   MS       ;29/06/2011;30/06/2011;03/06/2011;04/06/2011;UTE;Térmica                       ,-54.01888900299997,-21.852222003999998
146;MSMIM ;USINA QUE NÃO TEM RELACIONAMENTO DIRETO COM O ONS;USI MIMOSO                                         MS       ;;;30/12/1990;31/12/1990;UHE;Hidroelétrica                 ,-53.57333330099999,-20.678333304999967
147;MSTLA ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TRES LAGOAS                                    MS       ;30/12/2002;31/12/2002;07/01/2004;08/01/2004;UTE;Térmica                       ,-51.661666706000005,-20.746111102999976
148;MSUSL ;USINA PERTENCENTE A CONJUNTO DE USINAS;USI UTE SANTA LUZIA I                              MS       ;30/12/2010;31/12/2010;01/12/2010;02/12/2010;UTE;Térmica                       ,-54.252842001999966,-21.591808006999997
149;MTCLR ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI COLIDER                                        MT       ;14/10/2018;15/10/2018;08/03/2019;09/03/2019;UHE;Hidroelétrica                 ,-55.76600000299999,-10.984722003999991
150;MTDD  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI DARDANELOS                                     MT       ;30/07/2011;31/07/2011;28/07/2011;29/07/2011;UHE;Hidroelétrica                 ,-59.45000000299996,-10.163333006999949
151;MTPP  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PONTE DE PEDRA                                 MT       ;30/08/2005;31/08/2005;18/07/2005;19/07/2005;UHE;Hidroelétrica                 ,-54.907778001999986,-17.587139003999994
152;MTSI  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE SINOP                                      MT       ;29/12/2017;30/12/2017;16/09/2019;17/09/2019;UHE;Hidroelétrica                 ,-55.45000000299996,-11.266667000999973
153;MTUCID;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH CIDEZAL                                    MT       ;29/06/2011;30/06/2011;24/06/2011;25/06/2011;UHE;Hidroelétrica                 ,-59.01250000299996,-13.366944000999979
154;MTUDIV;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH DIVISA MT                                  MT       ;;;08/11/2011;09/11/2011;UHE;Hidroelétrica                 ,-59.14222200199998,-13.373611003999997
155;MTUGUA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GUAPORE                                        MT       ;30/11/2002;01/12/2002;07/04/2003;08/04/2003;UHE;Hidroelétrica                 ,-58.966388903999984,-15.116388902999972
156;MTUHTP;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TELES PIRES                                    PA       ;29/11/2015;30/11/2015;06/11/2015;07/11/2015;UHE;Hidroelétrica                 ,-56.77750000399999,-9.351111002999971
157;MTUIQ1;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITIQUIRA I                                     MT       ;14/08/2002;15/08/2002;23/10/2002;24/10/2002;UHE;Hidroelétrica                 ,-54.833055600999955,-17.083055600999955
158;MTUIQ2;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITIQUIRA II                                    MT       ;14/10/2002;15/10/2002;21/12/2002;22/12/2002;UHE;Hidroelétrica                 ,-54.83305600299997,-17.08335600099997
159;MTUJAU;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI JAURU                                          MT       ;28/02/2003;01/03/2003;20/03/2003;21/03/2003;UHE;Hidroelétrica                 ,-58.71666700399999,-15.233333006999999
160;MTUPAR;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH PARECIS                                    MT       ;30/07/2011;31/07/2011;05/07/2011;06/07/2011;UHE;Hidroelétrica                 ,-58.97555600099997,-13.074167005999982
161;MTURON;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH RONDON                                     MT       ;30/08/2011;31/08/2011;05/08/2011;06/08/2011;UHE;Hidroelétrica                 ,-58.91277800500001,-12.90361100499996
162;MTUSAP;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH SAPEZAL                                    MT       ;29/06/2011;30/06/2011;22/06/2011;23/06/2011;UHE;Hidroelétrica                 ,-59.01944400399998,-13.265556000999993
163;MTUSCU;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE CUIABA                                     MT       ;;;30/04/2002;01/05/2002;UTE;Térmica                       ,-56.16611110399998,-15.40277780599996
164;MTUSMS;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI MANSO                                          MT       ;;;28/11/2000;29/11/2000;UHE;Hidroelétrica                 ,-55.78837500499998,-14.87508500399997
165;MTUTEL;USINA PERTENCENTE A CONJUNTO DE USINAS;USI PCH TELEGRAFICA                                MT       ;30/08/2011;31/08/2011;26/08/2011;27/08/2011;UHE;Hidroelétrica                 ,-58.926111004999996,-12.848611004999952
166;PABM  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI BELO MONTE                                     PA       ;30/03/2016;31/03/2016;11/04/2016;12/04/2016;UHE;Hidroelétrica                 ,-51.77500000599997,-3.1265280019999864
167;PACRU ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CURUA-UNA                                      PA       ;;;26/07/1977;27/07/1977;UHE;Hidroelétrica                 ,-54.291388907,-2.7894167009999933
168;PATU  ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI US. TUCURUI                                    PA       ;;;29/04/1984;30/04/1984;UHE;Hidroelétrica                 ,-49.64394320499997,-3.8247687069999756
169;PAUPIM;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE PIMENTAL                                   PA       ;27/02/2016;28/02/2016;27/04/2016;28/04/2016;UHE;Hidroelétrica                 ,-51.94722200199999,-3.4376390059999835
170;PAUSMA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SAO MANOEL                                     PA       ;29/12/2017;30/12/2017;27/12/2017;28/12/2017;UHE;Hidroelétrica                 ,-57.052222005999965,-9.190278000999967
171;PBUTN ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE TERMONORDESTE                              PB       ;30/01/2011;31/01/2011;23/12/2010;24/12/2010;UTE;Térmica                       ,-34.92777800599998,-7.208888999999999
172;PBUTP ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE TERMOPARAIBA                               PB       ;30/01/2011;31/01/2011;12/01/2011;13/01/2011;UTE;Térmica                       ,-34.927222005999965,-7.208888999999999
173;PECEPT;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PETROLINA                                      PE       ;18/12/2007;19/12/2007;31/12/2007;01/01/2008;UTE;Térmica                       ,-40.59236100299995,-9.37494400199995
174;PETPRD;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMOCABO                                      PE       ;31/12/2007;01/01/2008;31/12/2007;01/01/2008;UTE;Térmica                       ,-35.02654199999995,-8.269799999999975
175;PEULG ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI LUIZ GONZAGA                                   PE       ;;;27/02/1988;28/02/1988;UHE;Hidroelétrica                 ,-38.306388906999985,-9.145833305999986
176;PEUTAL;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI REFINARIA ABREU E LIMA                         PE       ;12/08/2014;13/08/2014;18/01/2014;19/01/2014;UTE;Térmica                       ,-35.04333300099995,-8.398889005000001
177;PEUTPE;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMOPERNAMBUCO                                PE       ;30/12/2003;31/12/2003;30/01/2004;31/01/2004;UTE;Térmica                       ,-34.96972220399999,-8.405000000999962
178;PEUTPT;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PERNAMBUCO III                             PE       ;30/01/2014;31/01/2014;11/05/2013;12/05/2013;UTE;Térmica                       ,-35.021431006,-7.853969000999996
179;PEUTSD;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SUAPE II                                       PE       ;27/02/2013;28/02/2013;23/01/2013;24/01/2013;UTE;Térmica                       ,-35.02333300599997,-8.358611002999965
180;PIUBE ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI BOA  ESPERANCA                                 PI       ;;;30/01/1970;31/01/1970;UHE;Hidroelétrica                 ,-43.565000005,-6.74833330499996
181;PRARC ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ARAUCARIA                                      PR       ;29/10/2002;30/10/2002;08/09/2006;09/09/2006;UTE;Térmica                       ,-49.35527780699999,-25.586944401999972
182;PRFND ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI FUNDAO                                         PR       ;30/07/2006;31/07/2006;29/04/2006;30/04/2006;UHE;Hidroelétrica                 ,-51.99805500399998,-25.708611004999966
183;PRGBM ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GOVERNADOR BENTO MUNHOZ DA ROCHA NETTO         PR       ;;;30/09/1980;01/10/1980;UHE;Hidroelétrica                 ,-51.600000000999955,-26.00000000099999
184;PRGPSU;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GOVERNADOR PEDRO VIRIATO PARIGOT SOUZA         PR       ;;;24/10/1970;25/10/1970;UHE;Hidroelétrica                 ,-48.760556004999955,-25.253333002999966
185;PRIT60;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITAIPU 60 HZ                                   PR       ;;;31/12/1986;01/01/1987;UHE;Hidroelétrica                 ,-54.59277780399998,-25.42666670799997
186;PRSCL ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SANTA CLARA PR                                 PR       ;30/08/2005;31/08/2005;12/07/2005;13/07/2005;UHE;Hidroelétrica                 ,-51.966388001999974,-25.647777007000002
187;PRSCX ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI USI GOVERNADOR JOSE RICHA                      PR       ;;;17/02/1999;18/02/1999;UHE;Hidroelétrica                 ,-53.49222220499996,-25.544166706999988
188;PRSGD ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI GOVERNADOR NEY AMINTHAS DE BARROS BRAGA        PR       ;;;25/09/1992;26/09/1992;UHE;Hidroelétrica                 ,-52.104166701,-25.78111110699996
189;PRUFRA;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI FIGUEIRA                                       PR       ;;;07/04/1963;08/04/1963;UTE;Térmica                       ,-50.390722006999965,-23.852042004999987
190;PRUHBI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE BAIXO IGUACU                               PR       ;30/08/2018;31/08/2018;07/02/2019;08/02/2019;UHE;Hidroelétrica                 ,-53.67166700199999,-25.503333002999966
191;PRUHMA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UHE GOV JAYME CANET JR                         PR       ;29/11/2012;30/11/2012;10/10/2012;11/10/2012;UHE;Hidroelétrica                 ,-50.701389000000006,-24.063333005000004
192;PRUHSO;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SALTO OSORIO                                   PR       ;;;16/10/1975;17/10/1975;UHE;Hidroelétrica                 ,-53.009322002999966,-25.538056001999962
193;PRUHSS;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SALTO SANTIAGO                                 PR       ;;;30/12/1980;31/12/1980;UHE;Hidroelétrica                 ,-52.616667001999986,-25.600000002
194;PRUTBE;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI BERNECK                                        PR       ;31/08/2010;01/09/2010;12/03/2010;13/03/2010;UTE;Térmica                       ,-49.371389002,-25.54222200099997
195;PRUTKC;USINA PERTENCENTE A CONJUNTO DE USINAS;USI KLABIN CELULOSE                                PR       ;27/02/2016;28/02/2016;28/07/2016;29/07/2016;UTE;Térmica                       ,-50.73989999999998,-24.24368300399999
196;PYIT50;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ITAIPU 50 HZ                                   PY       ;;;31/01/1984;01/02/1984;UHE;Hidroelétrica                 ,-54.592913701999976,-25.426667006000002
197;RJCSA ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE DO ATLANTICO                               RJ       ;30/01/2011;31/01/2011;31/12/2010;01/01/2011;UTE;Térmica                       ,-43.739167004999956,-22.91361100299997
198;RJFTN ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI FONTES NOVA                                    RJ       ;;;31/12/1939;01/01/1940;UHE;Hidroelétrica                 ,-43.871666706999974,-22.688611105999996
199;RJILH ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ILHA POMBOS                                    RJ       ;;;29/02/1924;01/03/1924;UHE;Hidroelétrica                 ,-42.58333300099997,-21.850000002
200;RJNLP ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI NILO PECANHA                                   RJ       ;;;31/03/1953;01/04/1953;UHE;Hidroelétrica                 ,-43.860277801999985,-22.689444401000003
201;RJPPS ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI PEREIRA PASSOS                                 RJ       ;;;31/03/1962;01/04/1962;UHE;Hidroelétrica                 ,-43.80000000399997,-22.700000004000003
202;RJSBRA;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SANTA BRANCA                                   SP       ;;;05/06/1999;06/06/1999;UHE;Hidroelétrica                 ,-45.87083329999996,-23.370833301000005
203;RJUSAN;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ANGRA 1                                        RJ       ;;;06/07/1977;07/07/1977;UTN;Nuclear                       ,-44.45494800099999,-23.008611001999952
204;RJUSAT;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI ANTA                                           RJ       ;29/05/2018;30/05/2018;09/08/2018;10/08/2018;UHE;Hidroelétrica                 ,-43,-22.033333003999985
205;RJUSCP;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CAMPOS                                         RJ       ;;;06/07/1977;07/07/1977;UTE;Térmica                       ,-41.346288002999984,-21.72482300599995
206;RJUSFL;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI FUNIL                                          RJ       ;;;31/03/1969;01/04/1969;UHE;Hidroelétrica                 ,-44.57251200099995,-22.526586003999967
207;RJUSSC;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SANTA CRUZ                                     RJ       ;;;28/02/1967;01/03/1967;UTE;Térmica                       ,-43.75050200499999,-22.917090006999956
208;RJUSSI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SIMPLICIO                                      RJ       ;29/06/2013;30/06/2013;04/06/2013;05/06/2013;UHE;Hidroelétrica                 ,-42.79027800299997,-21.921111002999965
209;RJUTBF;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE BAIXADA FLUMINENSE                         RJ       ;28/02/2014;01/03/2014;28/02/2014;01/03/2014;UTE;Térmica                       ,-43.64222200199998,-22.722222000999977
210;RJUTEB;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI SEROPEDICA                                     RJ       ;14/09/2001;15/09/2001;14/09/2001;15/09/2001;UTE;Térmica                       ,-43.645555600999955,-22.719166703999974
211;RJUTME;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMOMACAE                                     RJ       ;14/10/2001;15/10/2001;18/12/2001;19/12/2001;UTE;Térmica                       ,-41.875,-22.30555600699995
212;RJUTNF;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI NORTE FLUMINENSE                               RJ       ;02/04/2003;03/04/2003;05/03/2004;06/03/2004;UTE;Térmica                       ,-41.88611110299996,-22.305555604999995
213;RJUTTR;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMORIO                                       RJ       ;29/11/2004;30/11/2004;28/02/2004;29/02/2004;UTE;Térmica                       ,-43.238333299999965,-22.716666707
214;RNEUS3;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI EOL MIASSABA 3                                 RN       ;29/06/2014;30/06/2014;31/01/2014;01/02/2014;UEE;Eolielétrica                  ,-36.44972200699999,-5.129444003000003
215;RNUAD ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ALEGRIA II                                     RN       ;29/12/2011;30/12/2011;29/12/2011;30/12/2011;UEE;Eolielétrica                  ,-36.40250100199995,-5.097279004999962
216;RNUAU ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI EOL ALEGRIA I                                  RN       ;29/12/2010;30/12/2010;29/12/2010;30/12/2010;UEE;Eolielétrica                  ,-36.38440100099996,-5.115283004999981
217;RNUEA1;USINA PERTENCENTE A CONJUNTO DE USINAS;USI RIA_RIACHAO 1                                  RN       ;30/03/2015;31/03/2015;26/06/2015;27/06/2015;UEE;Eolielétrica                  ,-35.439167,-5.522500000999969
218;RNUEA2;USINA PERTENCENTE A CONJUNTO DE USINAS;USI RIA_RIACHAO 2                                  RN       ;30/03/2015;31/03/2015;29/05/2015;30/05/2015;UEE;Eolielétrica                  ,-35.45333300499999,-5.549444004999998
219;RNUEA4;USINA PERTENCENTE A CONJUNTO DE USINAS;USI RIA_RIACHAO 4                                  RN       ;30/03/2015;31/03/2015;29/05/2015;30/05/2015;UEE;Eolielétrica                  ,-35.46861100199999,-5.521111003999977
220;RNUEA6;USINA PERTENCENTE A CONJUNTO DE USINAS;USI RIA_RIACHAO 6                                  RN       ;30/03/2015;31/03/2015;29/05/2015;30/05/2015;UEE;Eolielétrica                  ,-35.45222200499995,-5.545833006999999
221;RNUEA7;USINA PERTENCENTE A CONJUNTO DE USINAS;USI RIA_RIACHAO 7                                  RN       ;30/03/2015;31/03/2015;29/05/2015;30/05/2015;UEE;Eolielétrica                  ,-35.46388900299996,-5.577778003999981
222;RNUEAB;USINA PERTENCENTE A CONJUNTO DE USINAS;USI ABR_AREIA BRANCA                               RN       ;27/02/2014;28/02/2014;17/02/2014;18/02/2014;UEE;Eolielétrica                  ,-36.90338900699999,-4.977194003999955
223;RNUEM1;USINA PERTENCENTE A CONJUNTO DE USINAS;USI MSC_MANGUE SECO 1                              RN       ;30/10/2011;31/10/2011;29/09/2011;30/09/2011;UEE;Eolielétrica                  ,-36.359111004,-5.172575004999999
224;RNUEM2;USINA PERTENCENTE A CONJUNTO DE USINAS;USI MSC_MANGUE SECO 2                              RN       ;29/09/2011;30/09/2011;23/09/2011;24/09/2011;UEE;Eolielétrica                  ,-36.35908900199996,-5.172458000999995
